{'C': 47, 'class_weight': 'balanced', 'decision_function_shape': 'ovo', 'gamma': 1.68, 'kernel': 'rbf', 'max_df': 0.65, 'min_df': 0.0, 'polynomial_coef0': 2, 'polynomial_degree': 1, 'remove_singleton_recipes': False, 'seed': 42, 'shrinking': True, 'smooth_idf': False, 'strip_accents': None, 'sublinear_tf': True, 'tfidf_norm': 'l1', 'tol': 0.003600000000000001, 'use_idf': True, 'count': 14, 'score': 0.7942376753152285}
{'C': 47, 'class_weight': 'balanced', 'decision_function_shape': 'ovo', 'gamma': 1.68, 'kernel': 'rbf', 'max_df': 0.65, 'min_df': 0.0, 'polynomial_coef0': 2, 'polynomial_degree': 1, 'remove_singleton_recipes': False, 'seed': 42, 'shrinking': True, 'smooth_idf': False, 'strip_accents': None, 'sublinear_tf': True, 'tfidf_norm': 'l1', 'tol': 0.0038000000000000013, 'use_idf': True, 'count': 15, 'score': 0.7942125218792692}
{'C': 47, 'class_weight': 'balanced', 'decision_function_shape': 'ovo', 'gamma': 1.68, 'kernel': 'rbf', 'max_df': 0.65, 'min_df': 0.0, 'polynomial_coef0': 2, 'polynomial_degree': 1, 'remove_singleton_recipes': False, 'seed': 42, 'shrinking': True, 'smooth_idf': False, 'strip_accents': None, 'sublinear_tf': True, 'tfidf_norm': 'l1', 'tol': 0.004000000000000002, 'use_idf': True, 'count': 16, 'score': 0.7942628021920127}
{'C': 47, 'class_weight': 'balanced', 'decision_function_shape': 'ovo', 'gamma': 1.68, 'kernel': 'rbf', 'max_df': 0.65, 'min_df': 0.0, 'polynomial_coef0': 2, 'polynomial_degree': 1, 'remove_singleton_recipes': False, 'seed': 42, 'shrinking': True, 'smooth_idf': False, 'strip_accents': None, 'sublinear_tf': True, 'tfidf_norm': 'l1', 'tol': 0.0042000000000000015, 'use_idf': True, 'count': 17, 'score': 0.7942376696176833}
{'C': 47, 'class_weight': 'balanced', 'decision_function_shape': 'ovo', 'gamma': 1.68, 'kernel': 'rbf', 'max_df': 0.65, 'min_df': 0.0, 'polynomial_coef0': 2, 'polynomial_degree': 1, 'remove_singleton_recipes': False, 'seed': 42, 'shrinking': True, 'smooth_idf': False, 'strip_accents': None, 'sublinear_tf': True, 'tfidf_norm': 'l1', 'tol': 0.004400000000000001, 'use_idf': True, 'count': 18, 'score': 0.794313103366386}
{'C': 47, 'class_weight': 'balanced', 'decision_function_shape': 'ovo', 'gamma': 1.68, 'kernel': 'rbf', 'max_df': 0.65, 'min_df': 0.0, 'polynomial_coef0': 2, 'polynomial_degree': 1, 'remove_singleton_recipes': False, 'seed': 42, 'shrinking': True, 'smooth_idf': False, 'strip_accents': None, 'sublinear_tf': True, 'tfidf_norm': 'l1', 'tol': 0.004600000000000002, 'use_idf': True, 'count': 19, 'score': 0.7942376696176833}
{'C': 47, 'class_weight': 'balanced', 'decision_function_shape': 'ovo', 'gamma': 1.68, 'kernel': 'rbf', 'max_df': 0.65, 'min_df': 0.0, 'polynomial_coef0': 2, 'polynomial_degree': 1, 'remove_singleton_recipes': False, 'seed': 42, 'shrinking': True, 'smooth_idf': False, 'strip_accents': None, 'sublinear_tf': True, 'tfidf_norm': 'l1', 'tol': 0.004800000000000002, 'use_idf': True, 'count': 20, 'score': 0.7943382492203033}
{'C': 47, 'class_weight': 'balanced', 'decision_function_shape': 'ovo', 'gamma': 1.68, 'kernel': 'rbf', 'max_df': 0.65, 'min_df': 0.0, 'polynomial_coef0': 2, 'polynomial_degree': 1, 'remove_singleton_recipes': False, 'seed': 42, 'shrinking': True, 'smooth_idf': False, 'strip_accents': None, 'sublinear_tf': True, 'tfidf_norm': 'l1', 'tol': 0.005000000000000002, 'use_idf': True, 'count': 21, 'score': 0.794237662035641}
{'C': 47, 'class_weight': 'balanced', 'decision_function_shape': 'ovo', 'gamma': 1.68, 'kernel': 'rbf', 'max_df': 0.65, 'min_df': 0.0, 'polynomial_coef0': 2, 'polynomial_degree': 1, 'remove_singleton_recipes': False, 'seed': 42, 'shrinking': True, 'smooth_idf': False, 'strip_accents': None, 'sublinear_tf': True, 'tfidf_norm': 'l1', 'tol': 0.005200000000000002, 'use_idf': True, 'count': 22, 'score': 0.7942376563380957}
{'C': 47, 'class_weight': 'balanced', 'decision_function_shape': 'ovo', 'gamma': 1.68, 'kernel': 'rbf', 'max_df': 0.65, 'min_df': 0.0, 'polynomial_coef0': 2, 'polynomial_degree': 1, 'remove_singleton_recipes': False, 'seed': 42, 'shrinking': True, 'smooth_idf': False, 'strip_accents': None, 'sublinear_tf': True, 'tfidf_norm': 'l1', 'tol': 0.005400000000000002, 'use_idf': True, 'count': 23, 'score': 0.7942879499304268}
